id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
1,https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135546,100077,0,1
2,https://mirror1.malwaredomains.com/files/justdomains,0,1589652840,1613740417,"Migrated from /etc/pihole/adlists.list",1607742735,0,0,0
4,https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750236,34,0,2
5,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750236,2701,0,2
9,https://v.firebog.net/hosts/BillStearns.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750238,8778,0,2
10,https://v.firebog.net/hosts/static/w3kbl.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750238,357,0,2
11,https://reddestdream.github.io/Projects/MinimalHosts/etc/MinimalHostsBlocker/minimalhosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750239,710,0,2
14,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/KADhosts/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135552,45489,0,1
15,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/add.Spam/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750243,57,0,2
18,http://sysctl.org/cameleon/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750245,20564,0,2
21,https://www.joewein.net/dl/bl/dom-bl-base.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135560,74833,0,1
22,https://raw.githubusercontent.com/matomo-org/referrer-spam-blacklist/master/spammers.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750250,2097,0,2
23,https://hostsfile.org/Downloads/hosts.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750253,25263,0,2
24,http://someonewhocares.org/hosts/zero/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1642925968,10346,0,2
25,https://raw.githubusercontent.com/Dawsey21/Lists/master/main-blacklist.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750264,7066,0,2
26,https://raw.githubusercontent.com/vokins/yhosts/master/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750266,8929,0,2
27,http://winhelp2002.mvps.org/hosts.txt,1,1589652840,1633197902,"Migrated from /etc/pihole/adlists.list",1641750268,8730,0,2
28,https://hostsfile.mine.nu/hosts0.txt,0,1589652840,1633196785,"Migrated from /etc/pihole/adlists.list",1632073758,0,0,4
29,https://v.firebog.net/hosts/Kowabit.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750269,7680,0,2
30,https://adblock.mahakala.is,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135577,98748,0,1
31,https://adaway.org/hosts.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135578,7040,0,1
32,https://v.firebog.net/hosts/AdguardDNS.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135580,43454,0,1
35,https://v.firebog.net/hosts/Easylist.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135581,15732,0,1
37,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/UncheckyAds/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750279,9,0,2
38,https://v.firebog.net/hosts/Airelle-trc.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750282,45718,0,2
39,https://v.firebog.net/hosts/Easyprivacy.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135586,12890,0,1
40,https://v.firebog.net/hosts/Prigent-Ads.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750285,3670,0,2
41,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/add.2o7Net/hosts,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750288,1286,0,2
47,https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/SmartTV.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750289,215,0,2
48,https://v.firebog.net/hosts/Airelle-hrsk.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750292,39455,0,2
49,https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750293,2735,0,2
54,https://mirror.cedia.org.ec/malwaredomains/immortal_domains.txt,0,1589652840,1613740403,"Migrated from /etc/pihole/adlists.list",1612233220,0,0,0
56,https://bitbucket.org/ethanr/dns-blacklists/raw/8575c9f96e5b4a1308f2f12394abd86d0927a4a0/bad_lists/Mandiant_APT1_Report_Appendix_D.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750294,2046,0,2
57,https://v.firebog.net/hosts/Prigent-Malware.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135601,168734,0,1
58,https://v.firebog.net/hosts/Prigent-Phishing.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1644135607,168734,0,1
60,https://v.firebog.net/hosts/Shalla-mal.txt,1,1589652840,1589652840,"Migrated from /etc/pihole/adlists.list",1641750309,19239,0,2
